territorial,fecha_registro,pr,distancia_pr,fecha_acc,dia_semana_acc,min_acc,condic_meteor,estado_super,terreno,secc_tip,geometria_acc,tipo_cierre,horas_cierre,min_cierre,n_heridos,n_muertos,n_victimas,clase_accidente,causa_posible,ref_loc,hora_acc,duracion_cierre_horas
Córdoba,2020-08-23 18:45:00,9,885.0,2020-07-09 05:00:00,jueves,57,Normal,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,0,20,0,2,2.0,Choque,adelantamientos indebidos,7801_1_9,19.0,5.0
Córdoba,2020-08-23 18:48:00,45,770.0,2020-07-31 05:00:00,viernes,40,Normal,Humeda,Ondulado,Terraplen,Recta,Transito normal con precaución,0,40,0,0,0.0,Volcamiento,maniobras imprudentes,9003_0_45,6.0,18.0
Valle del Cauca,2020-08-24 13:47:00,31,800.0,2020-04-18 05:00:00,sabado,30,Normal,Humeda,Montañoso,Terraplen,Curva Derecha,Cierre total,1,5,0,0,0.0,Choque,no mantener distancia de seguridad,4001_2_31,8.0,17.0
Planta Central,2020-08-24 13:55:00,3,400.0,2020-02-24 05:00:00,lunes,0,Normal,Seca y limpia,Plano,Terraplen,Recta,Transito normal con precaución,6,45,0,0,0.0,Choque,maniobras imprudentes,2511_0_3,6.0,0.0
Valle del Cauca,2020-08-24 13:54:00,55,800.0,2020-04-18 05:00:00,sabado,45,Normal,Seca y limpia,Montañoso,Cajón,Curva Derecha,Parcial con reducción de carriles,0,45,0,0,0.0,Choque,no mantener distancia de seguridad,4001_2_55,15.0,9.0
Planta Central,2020-08-24 13:58:00,6,700.0,2020-02-16 05:00:00,domingo,20,Lluvia,Humeda,Ondulado,Media Ladera Derecha,Curva Derecha,Parcial con reducción de carriles,9,0,0,0,0.0,Volcamiento,fallas mecanicas y del sistema electrico,2511_0_6,8.0,1.0
Valle del Cauca,2020-08-24 14:01:00,36,700.0,2020-04-19 05:00:00,domingo,20,Normal,Seca y limpia,Montañoso,Media Ladera Derecha,Curva Derecha,Parcial con reducción de carriles,0,40,2,0,2.0,Volcamiento,otra - conductor en general,1901_0_36,18.0,6.0
Planta Central,2020-08-24 14:03:00,9,450.0,2020-02-24 05:00:00,lunes,15,Normal,Seca y limpia,Ondulado,Terraplen,Recta,Transito normal con precaución,0,35,0,0,0.0,Choque,exceso de velocidad,2511_0_9,0.0,0.0
Planta Central,2020-08-24 14:08:00,9,450.0,2020-02-21 05:00:00,viernes,0,Lluvia,Humeda,Ondulado,Terraplen,Curva Derecha,Transito normal con precaución,19,40,0,0,0.0,Choque,condiciones de la via y factores ambientales,2511_0_9,18.0,1.0
Valle del Cauca,2020-08-24 14:08:00,11,0.0,2020-04-24 05:00:00,viernes,30,Lluvia,Humeda,Montañoso,Media ladera Izquierda,Curva Derecha,Parcial con reducción de carriles,0,10,0,0,0.0,Choque,impericia en el manejo,1901_0_11,7.0,17.0
Planta Central,2020-08-24 14:16:00,11,500.0,2020-02-24 05:00:00,lunes,0,Lluvia,Humeda,Ondulado,Media Ladera Derecha,Recta,Parcial con reducción de carriles,15,43,1,0,1.0,Choque,adelantamientos indebidos,2511_0_11,14.0,1.0
Planta Central,2020-08-24 14:54:00,18,50.0,2020-02-06 05:00:00,jueves,45,Normal,Seca y limpia,Ondulado,Terraplen,Recta,Transito normal con precaución,5,30,0,0,0.0,Choque,estacionamiento y senalizacion imprudente,2511_0_18,4.0,1.0
Planta Central,2020-08-24 16:24:00,56,960.0,2020-02-11 05:00:00,martes,40,Normal,Seca y limpia,Ondulado,Terraplen,Recta,Parcial con reducción de carriles,18,30,0,1,1.0,Choque,fallas mecanicas y del sistema electrico,2511_0_56,17.0,1.0
Planta Central,2020-08-24 16:32:00,68,580.0,2020-02-20 05:00:00,jueves,50,Normal,Seca y limpia,Montañoso,Media ladera Izquierda,Recta,Transito normal con precaución,9,57,0,0,0.0,Choque,condiciones de la via y factores ambientales,2511_0_68,8.0,1.0
Planta Central,2020-08-24 16:47:00,69,800.0,2020-02-09 05:00:00,domingo,0,Normal,Seca y limpia,Montañoso,Media ladera Izquierda,Curva Derecha,Parcial con reducción de carriles,14,35,0,1,1.0,Choque,adelantamientos indebidos,2511_0_69,14.0,0.0
Planta Central,2020-08-24 16:53:00,72,600.0,2020-02-01 05:00:00,sabado,0,Normal,Seca y limpia,Ondulado,Media ladera Izquierda,Recta,Transito normal con precaución,15,0,0,0,0.0,Choque,adelantamientos indebidos,2511_0_72,13.0,2.0
Planta Central,2020-08-24 17:02:00,74,400.0,2020-02-11 05:00:00,martes,0,Normal,Seca y limpia,Ondulado,Media ladera Izquierda,Curva Derecha,Transito normal con precaución,17,40,0,0,0.0,Otro,fallas mecanicas y del sistema electrico,2511_0_74,1.0,16.0
Cundinamarca,2020-08-24 18:45:00,28,199.9,2020-01-14 05:00:00,martes,30,Normal,Seca y limpia,Plano,Terraplen,Recta,Parcial con paso alternado,16,30,0,0,0.0,Choque,no mantener distancia de seguridad,45A04_1_28,16.0,0.0
Cundinamarca,2020-08-24 19:26:00,28,199.9,2020-01-22 05:00:00,miercoles,20,Lluvia,Humeda,Plano,Terraplen,Recta,Transito normal con precaución,12,30,0,0,0.0,Choque,otra - pasajero o acompanante,45A04_1_28,12.0,0.0
Planta Central,2020-08-24 19:43:00,84,0.0,2020-02-17 05:00:00,lunes,0,Normal,Seca y limpia,Ondulado,Media ladera Izquierda,Recta,Parcial con reducción de carriles,10,37,1,0,1.0,Choque,condiciones de la via y factores ambientales,2511_0_84,12.0,22.0
Planta Central,2020-08-26 15:32:00,53,500.0,2020-07-30 05:00:00,jueves,0,Normal,Seca y limpia,Montañoso,Media Ladera Derecha,Curva Izquierda,Transito normal con precaución,1,0,0,0,0.0,Salida de la vía sin volcarse,fallas mecanicas y del sistema electrico,45A04_1_53,1.0,0.0
Cundinamarca,2020-08-24 20:14:00,28,199.9,2020-01-23 05:00:00,jueves,40,Normal,Seca y limpia,Plano,Terraplen,Recta,Parcial con reducción de carriles,5,40,2,0,2.0,Choque,desobediencia a normas y senales,45A04_1_28,5.0,0.0
